side,No.,Title,Writer(s),Length
1,1,"""Come Together""",John Lennon,4:20
1,2,"""Something"" (George Harrison)",George Harrison,3:03
1,3,"""Maxwell's Silver Hammer""",Paul McCartney,3:27
1,4,"""Oh! Darling""",Paul McCartney,3:26
1,5,"""Octopus's Garden"" (Richard Starkey)",Ringo Starr,2:51
1,6,"""I Want You (She's So Heavy)""",John Lennon,7:47
2,1,"""Here Comes the Sun"" (George Harrison)",George Harrison,3:05
2,2,"""Because""",John Lennon|Paul McCartney|George Harrison,2:45
2,3,"""You Never Give Me Your Money""",Paul McCartney,4:02
2,4,"""Sun King""",John Lennon|Paul McCartney|George Harrison,2:26
2,5,"""Mean Mr. Mustard""",John Lennon,1:06
2,6,"""Polythene Pam""",John Lennon,1:12
2,7,"""She Came in Through the Bathroom Window""",Paul McCartney,1:57
2,8,"""Golden Slumbers""",Paul McCartney,1:31
2,9,"""Carry That Weight""",Paul McCartney|John Lennon|George Harrison|Ringo Starr,1:36
2,10,"""The End""",Paul McCartney,2:05
2,11,"""Her Majesty""",Paul McCartney,0:23
