side,No.,Title,Writer(s),Length
1,1,"""Kissing the Lipless""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,3:19
1,2,"""Mine's Not a High Horse""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,3:20
1,3,"""So Says I""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,2:48
1,4,"""Young Pilgrims""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,2:47
1,5,"""Saint Simon""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,4:25
1,6,"""Fighting in a Sack""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,2:26
1,7,"""Pink Bullets""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,3:53
1,8,"""Turn a Square""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,3:11
1,9,"""Gone for Good""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,3:13
1,10,"""Those to Come""",James Mercer|Dave Hernandez|Jesse Sandoval|Marty Crandall,4:24
