side,No.,Title,people,Length
,,,,
,,,,
1,1,"""Second Hand News""",Lindsey Buckingham,2:56:00
1,2,"""Dreams""",Stevie Nicks,4:14:00
1,3,"""Never Going Back Again""",Lindsey Buckingham,2:14:00
1,4,"""Don't Stop""",Christine McVie|Lindsey Buckingham,3:13:00
1,5,"""Go Your Own Way""",Lindsey Buckingham,3:38:00
1,6,"""Songbird""",Christine McVie,3:20:00
2,1,"""The Chain""",Lindsey Buckingham|Mick Fleetwood|Christine McVie|John McVie|Stevie Nicks,4:30:00
2,2,"""You Make Loving Fun""",Christine McVie,3:31:00
2,3,"""I Don't Want to Know""",Stevie Stevie Nicks|Lindsey Buckingham,3:15:00
2,4,"""Oh Daddy""",Christine McVie,3:56:00
2,5,"""Gold Dust Woman""",Stevie Nicks,4:56:00
